class,f1_score,precision,recall,support
related,0.87,0.83,0.93,4968.0
request,0.54,0.84,0.4,1113.0
offer,0.0,0.0,0.0,28.0
aid_related,0.61,0.76,0.51,2710.0
medical_help,0.11,0.64,0.06,526.0
medical_products,0.11,0.69,0.06,334.0
search_and_rescue,0.16,0.59,0.09,169.0
security,0.0,0.0,0.0,101.0
military,0.12,0.62,0.06,203.0
child_alone,0.0,0.0,0.0,0.0
water,0.32,0.76,0.2,433.0
food,0.49,0.84,0.34,765.0
shelter,0.34,0.82,0.22,584.0
clothing,0.14,0.73,0.08,100.0
money,0.04,0.5,0.02,163.0
missing_people,0.0,0.0,0.0,78.0
refugees,0.03,0.57,0.02,234.0
death,0.26,0.83,0.16,289.0
other_aid,0.07,0.51,0.03,861.0
infrastructure_related,0.0,0.0,0.0,460.0
transport,0.14,0.74,0.08,287.0
buildings,0.17,0.67,0.09,338.0
electricity,0.09,0.86,0.05,125.0
tools,0.0,0.0,0.0,31.0
hospitals,0.0,0.0,0.0,65.0
shops,0.0,0.0,0.0,35.0
aid_centers,0.0,0.0,0.0,96.0
other_infrastructure,0.01,0.33,0.01,308.0
weather_related,0.65,0.84,0.53,1790.0
floods,0.37,0.86,0.23,515.0
storm,0.43,0.74,0.31,615.0
fire,0.0,0.0,0.0,68.0
earthquake,0.7,0.88,0.58,595.0
cold,0.21,0.68,0.12,124.0
other_weather,0.01,0.67,0.01,355.0
direct_report,0.46,0.8,0.32,1259.0
